Major,CREDDESC,IPEDSCOUNT1,IPEDSCOUNT2,EARN_COUNT_NWNE_HI_1YR,EARN_CNTOVER150_HI_1YR,EARN_COUNT_WNE_HI_1YR,EARN_MDN_HI_1YR,EARN_COUNT_NWNE_HI_2YR,EARN_CNTOVER150_HI_2YR,EARN_COUNT_WNE_HI_2YR,EARN_MDN_HI_2YR,BBRR2_FED_COMP_N,BBRR2_FED_COMP_DFLT,BBRR2_FED_COMP_DLNQ,BBRR2_FED_COMP_FBR,BBRR2_FED_COMP_DFR,BBRR2_FED_COMP_NOPROG,BBRR2_FED_COMP_MAKEPROG,BBRR2_FED_COMP_PAIDINFULL,BBRR2_FED_COMP_DISCHARGE,BBRR3_FED_COMP_N,BBRR3_FED_COMP_DFLT,BBRR3_FED_COMP_DLNQ,BBRR3_FED_COMP_FBR,BBRR3_FED_COMP_DFR,BBRR3_FED_COMP_NOPROG,BBRR3_FED_COMP_MAKEPROG,BBRR3_FED_COMP_PAIDINFULL,BBRR3_FED_COMP_DISCHARGE,EARN_COUNT_PELL_WNE_1YR,EARN_PELL_WNE_MDN_1YR,EARN_COUNT_NOPELL_WNE_1YR,EARN_NOPELL_WNE_MDN_1YR,EARN_COUNT_MALE_WNE_1YR,EARN_MALE_WNE_MDN_1YR,EARN_COUNT_NOMALE_WNE_1YR,EARN_NOMALE_WNE_MDN_1YR,EARN_COUNT_NE_3YR,EARN_NE_MDN_3YR,EARN_COUNT_WNE_3YR,EARN_CNTOVER150_3YR,EARN_COUNT_PELL_NE_3YR,EARN_PELL_NE_MDN_3YR,EARN_COUNT_NOPELL_NE_3YR,EARN_NOPELL_NE_MDN_3YR,EARN_COUNT_MALE_NE_3YR,EARN_MALE_NE_MDN_3YR,EARN_COUNT_NOMALE_NE_3YR,EARN_NOMALE_NE_MDN_3YR,EARN_COUNT_NWNE_1YR,EARN_COUNT_WNE_1YR,EARN_MDN_1YR,EARN_GT_THRESHOLD_1YR,EARN_COUNT_HIGH_CRED_1YR,EARN_IN_STATE_1YR,EARN_COUNT_NWNE_4YR,EARN_COUNT_WNE_4YR,EARN_MDN_4YR,EARN_GT_THRESHOLD_4YR,EARN_COUNT_PELL_WNE_4YR,EARN_PELL_WNE_MDN_4YR,EARN_COUNT_NOPELL_WNE_4YR,EARN_NOPELL_WNE_MDN_4YR,EARN_COUNT_MALE_WNE_4YR,EARN_MALE_WNE_MDN_4YR,EARN_COUNT_NOMALE_WNE_4YR,EARN_NOMALE_WNE_MDN_4YR,EARN_COUNT_HIGH_CRED_4YR,EARN_IN_STATE_4YR,BBRR1_FED_COMP_N,BBRR1_FED_COMP_DFLT,BBRR1_FED_COMP_DLNQ,BBRR1_FED_COMP_FBR,BBRR1_FED_COMP_DFR,BBRR1_FED_COMP_NOPROG,BBRR1_FED_COMP_MAKEPROG,BBRR1_FED_COMP_PAIDINFULL,BBRR1_FED_COMP_DISCHARGE,BBRR4_FED_COMP_N,BBRR4_FED_COMP_DFLT,BBRR4_FED_COMP_DLNQ,BBRR4_FED_COMP_FBR,BBRR4_FED_COMP_DFR,BBRR4_FED_COMP_NOPROG,BBRR4_FED_COMP_MAKEPROG,BBRR4_FED_COMP_PAIDINFULL,BBRR4_FED_COMP_DISCHARGE,DISTANCE,EARN_COUNT_NWNE_5YR,EARN_COUNT_WNE_5YR,EARN_MDN_5YR,EARN_GT_THRESHOLD_5YR,EARN_COUNT_PELL_WNE_5YR,EARN_PELL_WNE_MDN_5YR,EARN_COUNT_NOPELL_WNE_5YR,EARN_NOPELL_WNE_MDN_5YR,EARN_COUNT_MALE_WNE_5YR,EARN_MALE_WNE_MDN_5YR,EARN_COUNT_NOMALE_WNE_5YR,EARN_NOMALE_WNE_MDN_5YR,EARN_COUNT_HIGH_CRED_5YR,EARN_IN_STATE_5YR,EARN_COUNT_WNE_4YR_NAT,EARN_MDN_4YR_NAT,EARN_P25_4YR_NAT,EARN_P75_4YR_NAT
Computer Engineering,Bachelor's Degree,158.0,129.0,6,125,131,91493,3,92,94,93964,116,<=0.10,<=0.10,<=0.10,<=0.10,<=0.10,0.40 - 0.49,0.30 - 0.39,<=0.10,86,<=0.20,<=0.20,<=0.20,<=0.20,<=0.20,0.20 - 0.39,0.40 - 0.59,<=0.20,69,103931,70,114673,119,108184,20,113077,100,106798,99,96,44,98893,56,115905,83,99914,17,151445,4,139,111560,120,PS,114,1,155,148950,PS,44,110290,56,130347,82,113365,18,184621,PS,85,117,<=0.10,<=0.10,0.40 - 0.49,<=0.10,<=0.10,0.10 - 0.19,0.20 - 0.29,<=0.10,86,<=0.20,<=0.20,0.20 - 0.39,<=0.20,<=0.20,<=0.20,0.60 - 0.79,<=0.20,1,3,97,146406,95,41,143969,56,147127,79,140860,18,191173,PS,80,10329,109015,86299,145170
Electrical Engineering,Bachelor's Degree,136.0,159.0,4,89,93,79454,0,87,92,79647,78,<=0.20,<=0.20,<=0.20,<=0.20,<=0.20,0.40 - 0.59,0.20 - 0.39,<=0.20,88,<=0.20,<=0.20,<=0.20,<=0.20,<=0.20,0.40 - 0.59,0.40 - 0.59,<=0.20,61,89822,63,91246,99,90479,25,89622,89,87345,86,84,60,87138,29,83406,77,85701,PS,PS,5,124,90576,114,PS,114,1,118,125240,PS,60,98923,27,100805,75,99690,PS,PS,PS,70,97,<=0.20,<=0.20,0.40 - 0.59,<=0.20,<=0.20,<=0.20,0.20 - 0.39,<=0.20,88,<=0.20,<=0.20,<=0.20,<=0.20,<=0.20,<=0.20,0.40 - 0.59,<=0.20,1,3,86,116692,82,56,117319,30,114778,PS,PS,PS,PS,PS,68,16532,100647,84635,122440
Electrical Engineering,Master's Degree,31.0,26.0,0,30,30,104015,2,19,19,101964,12,PS,PS,PS,PS,PS,PS,PS,PS,16,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,21,116606,19,19,PS,PS,PS,PS,17,113291,PS,PS,0,PS,PS,PS,PS,PS,1,17,158977,PS,PS,PS,PS,PS,16,133800,PS,PS,PS,17,10,PS,PS,PS,PS,PS,PS,PS,PS,16,PS,PS,PS,PS,PS,PS,PS,PS,1,2,19,158506,20,PS,PS,PS,PS,PS,PS,PS,PS,PS,17,3090,133654,107420,171817
Environmental Engineering,Bachelor's Degree,29.0,39.0,1,24,29,59486,2,28,30,63005,33,PS,PS,PS,PS,PS,0.40 - 0.59,PS,PS,32,PS,PS,PS,PS,PS,PS,0.40 - 0.59,PS,PS,PS,PS,PS,PS,PS,PS,PS,32,75842,27,27,PS,PS,19,76396,18,75673,PS,PS,1,31,82197,29,PS,25,1,41,102702,PS,PS,PS,20,85703,19,89570,PS,PS,PS,24,28,PS,PS,0.40 - 0.59,PS,PS,PS,PS,PS,32,PS,PS,PS,PS,PS,PS,PS,PS,1,3,33,86311,30,PS,PS,PS,PS,PS,PS,PS,PS,PS,22,1579,81171,68911,95232
Materials Engineering,Bachelor's Degree,48.0,46.0,2,20,22,62746,0,29,31,68219,32,PS,PS,PS,PS,PS,PS,0.40 - 0.59,PS,30,PS,PS,PS,PS,PS,0.40 - 0.59,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,29,85743,27,27,16,88095,PS,PS,22,83313,PS,PS,2,26,74496,23,PS,22,0,22,100599,PS,PS,PS,PS,PS,19,94633,PS,PS,PS,22,17,PS,PS,PS,PS,PS,PS,PS,PS,30,PS,PS,PS,PS,PS,PS,0.40 - 0.59,PS,1,0,26,107726,26,PS,PS,PS,PS,PS,PS,PS,PS,PS,23,1151,91449,76710,109151
Mechanical Engineering,Bachelor's Degree,272.0,278.0,7,196,206,74806,1,138,143,74038,168,<=0.10,<=0.10,0.10 - 0.19,<=0.10,<=0.10,0.40 - 0.49,0.30 - 0.39,<=0.10,136,<=0.10,<=0.10,0.10 - 0.19,<=0.10,<=0.10,0.30 - 0.39,0.30 - 0.39,<=0.10,110,84284,125,80548,198,82756,38,85187,150,86000,138,137,80,85582,69,87574,123,86836,27,85663,9,235,83011,215,23,195,3,211,106750,PS,80,95323,63,99058,114,98508,29,92917,PS,121,165,<=0.10,<=0.10,0.50 - 0.59,<=0.10,<=0.10,0.20 - 0.29,0.10 - 0.19,<=0.10,137,<=0.10,<=0.10,0.30 - 0.39,<=0.10,<=0.10,0.10 - 0.19,0.40 - 0.49,<=0.10,1,7,133,110675,131,73,109808,60,112085,106,113045,27,105978,PS,110,36057,92135,77715,109121
Mechanical Engineering,Master's Degree,55.0,40.0,0,17,17,101786,0,17,17,94408,PS,PS,PS,PS,PS,PS,PS,PS,PS,11,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,1,31,92510,25,PS,28,0,25,127908,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,11,PS,PS,PS,PS,PS,PS,PS,PS,1,0,16,119479,17,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,3775,115974,97429,140629
Industrial Engineering,Bachelor's Degree,72.0,76.0,3,67,70,72643,1,53,53,73562,56,<=0.20,<=0.20,<=0.20,<=0.20,<=0.20,0.40 - 0.59,0.20 - 0.39,<=0.20,49,PS,PS,PS,PS,PS,0.40 - 0.59,PS,PS,25,76963,45,89924,47,79879,23,92008,50,90242,48,47,21,92292,28,85834,31,90985,18,87032,2,70,87226,67,PS,51,1,78,112797,PS,21,109480,26,99225,31,104291,16,104077,PS,37,76,<=0.20,<=0.20,0.40 - 0.59,<=0.20,<=0.20,0.20 - 0.39,0.20 - 0.39,<=0.20,49,PS,PS,0.20 - 0.39,PS,PS,PS,0.40 - 0.59,PS,1,2,48,121125,48,22,131766,26,113151,32,122740,16,111194,PS,39,4636,98442,81158,121691
Industrial Engineering,Master's Degree,13.0,1.0,0,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,0,PS,PS,PS,PS,PS,0,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,1,0,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,758,119184,96708,151168
Manufacturing Engineering,Bachelor's Degree,23.0,17.0,1,16,18,68936,PS,PS,PS,PS,10,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,0,PS,PS,PS,PS,PS,0,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,1,0,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,538,88451,72634,102217
