Major,CREDDESC,IPEDSCOUNT1,IPEDSCOUNT2,EARN_COUNT_NWNE_HI_1YR,EARN_CNTOVER150_HI_1YR,EARN_COUNT_WNE_HI_1YR,EARN_MDN_HI_1YR,EARN_COUNT_NWNE_HI_2YR,EARN_CNTOVER150_HI_2YR,EARN_COUNT_WNE_HI_2YR,EARN_MDN_HI_2YR,BBRR2_FED_COMP_N,BBRR2_FED_COMP_DFLT,BBRR2_FED_COMP_DLNQ,BBRR2_FED_COMP_FBR,BBRR2_FED_COMP_DFR,BBRR2_FED_COMP_NOPROG,BBRR2_FED_COMP_MAKEPROG,BBRR2_FED_COMP_PAIDINFULL,BBRR2_FED_COMP_DISCHARGE,BBRR3_FED_COMP_N,BBRR3_FED_COMP_DFLT,BBRR3_FED_COMP_DLNQ,BBRR3_FED_COMP_FBR,BBRR3_FED_COMP_DFR,BBRR3_FED_COMP_NOPROG,BBRR3_FED_COMP_MAKEPROG,BBRR3_FED_COMP_PAIDINFULL,BBRR3_FED_COMP_DISCHARGE,EARN_COUNT_PELL_WNE_1YR,EARN_PELL_WNE_MDN_1YR,EARN_COUNT_NOPELL_WNE_1YR,EARN_NOPELL_WNE_MDN_1YR,EARN_COUNT_MALE_WNE_1YR,EARN_MALE_WNE_MDN_1YR,EARN_COUNT_NOMALE_WNE_1YR,EARN_NOMALE_WNE_MDN_1YR,EARN_COUNT_NE_3YR,EARN_NE_MDN_3YR,EARN_COUNT_WNE_3YR,EARN_CNTOVER150_3YR,EARN_COUNT_PELL_NE_3YR,EARN_PELL_NE_MDN_3YR,EARN_COUNT_NOPELL_NE_3YR,EARN_NOPELL_NE_MDN_3YR,EARN_COUNT_MALE_NE_3YR,EARN_MALE_NE_MDN_3YR,EARN_COUNT_NOMALE_NE_3YR,EARN_NOMALE_NE_MDN_3YR,EARN_COUNT_NWNE_1YR,EARN_COUNT_WNE_1YR,EARN_MDN_1YR,EARN_GT_THRESHOLD_1YR,EARN_COUNT_HIGH_CRED_1YR,EARN_IN_STATE_1YR,EARN_COUNT_NWNE_4YR,EARN_COUNT_WNE_4YR,EARN_MDN_4YR,EARN_GT_THRESHOLD_4YR,EARN_COUNT_PELL_WNE_4YR,EARN_PELL_WNE_MDN_4YR,EARN_COUNT_NOPELL_WNE_4YR,EARN_NOPELL_WNE_MDN_4YR,EARN_COUNT_MALE_WNE_4YR,EARN_MALE_WNE_MDN_4YR,EARN_COUNT_NOMALE_WNE_4YR,EARN_NOMALE_WNE_MDN_4YR,EARN_COUNT_HIGH_CRED_4YR,EARN_IN_STATE_4YR,BBRR1_FED_COMP_N,BBRR1_FED_COMP_DFLT,BBRR1_FED_COMP_DLNQ,BBRR1_FED_COMP_FBR,BBRR1_FED_COMP_DFR,BBRR1_FED_COMP_NOPROG,BBRR1_FED_COMP_MAKEPROG,BBRR1_FED_COMP_PAIDINFULL,BBRR1_FED_COMP_DISCHARGE,BBRR4_FED_COMP_N,BBRR4_FED_COMP_DFLT,BBRR4_FED_COMP_DLNQ,BBRR4_FED_COMP_FBR,BBRR4_FED_COMP_DFR,BBRR4_FED_COMP_NOPROG,BBRR4_FED_COMP_MAKEPROG,BBRR4_FED_COMP_PAIDINFULL,BBRR4_FED_COMP_DISCHARGE,DISTANCE,EARN_COUNT_NWNE_5YR,EARN_COUNT_WNE_5YR,EARN_MDN_5YR,EARN_GT_THRESHOLD_5YR,EARN_COUNT_PELL_WNE_5YR,EARN_PELL_WNE_MDN_5YR,EARN_COUNT_NOPELL_WNE_5YR,EARN_NOPELL_WNE_MDN_5YR,EARN_COUNT_MALE_WNE_5YR,EARN_MALE_WNE_MDN_5YR,EARN_COUNT_NOMALE_WNE_5YR,EARN_NOMALE_WNE_MDN_5YR,EARN_COUNT_HIGH_CRED_5YR,EARN_IN_STATE_5YR,EARN_COUNT_WNE_4YR_NAT,EARN_MDN_4YR_NAT,EARN_P25_4YR_NAT,EARN_P75_4YR_NAT
Nutrition,Bachelor's Degree,,,0,18,32,20936,2,50,64,34603,60,<=0.20,<=0.20,<=0.20,<=0.20,<=0.20,0.20 - 0.39,0.20 - 0.39,<=0.20,62,<=0.20,<=0.20,<=0.20,<=0.20,<=0.20,0.20 - 0.39,0.20 - 0.39,<=0.20,PS,PS,PS,PS,PS,PS,PS,PS,62,43563,53,43,42,41881,20,53883,PS,PS,52,47622,PS,PS,PS,PS,PS,PS,5,PS,PS,PS,40,57058,25,54274,PS,PS,58,55147,PS,53,PS,PS,PS,PS,PS,PS,PS,PS,PS,62,<=0.20,<=0.20,0.20 - 0.39,<=0.20,<=0.20,<=0.20,0.20 - 0.39,<=0.20,0,5,67,68469,55,39,65019,28,70192,PS,PS,PS,PS,18,53,3824,54945,39143,70678
Child Development,Bachelor's Degree,0.0,0.0,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,1,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS
English,Bachelor's Degree,60.0,49.0,3,25,40,31386,1,26,36,35060,33,PS,PS,PS,PS,PS,0.40 - 0.59,PS,PS,43,PS,PS,PS,PS,PS,0.40 - 0.59,0.20 - 0.39,PS,16,26092,16,49037,PS,PS,PS,PS,45,45038,36,30,18,42003,26,46278,PS,PS,35,47086,0,32,34718,18,PS,30,2,51,63413,PS,PS,PS,28,50963,PS,PS,37,50794,PS,37,48,PS,PS,0.20 - 0.39,PS,PS,0.20 - 0.39,PS,PS,43,PS,PS,0.40 - 0.59,PS,PS,PS,0.20 - 0.39,PS,1,3,39,64041,34,PS,PS,PS,PS,PS,PS,PS,PS,PS,32,33025,48590,33654,63810
English,Master's Degree,2.0,14.0,0,PS,16,44301,PS,PS,PS,PS,11,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,0,PS,PS,PS,PS,PS,0,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,1,1,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,3708,55512,39177,72721
English,Graduate/Professional Certificate,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,PS,PS,PS,PS,PS,PS,PS,PS,,,,,,,,,,,,,PS,PS,PS,PS,PS,PS,,PS,PS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS
English,Bachelor's Degree,0.0,0.0,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,1,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS
Liberal Studies,Bachelor's Degree,107.0,116.0,4,40,53,38741,0,19,26,29685,78,<=0.20,<=0.20,<=0.20,<=0.20,<=0.20,0.20 - 0.39,0.20 - 0.39,<=0.20,48,PS,PS,0.20 - 0.39,PS,PS,0.20 - 0.39,0.20 - 0.39,PS,22,24334,24,48757,PS,PS,PS,PS,58,51107,37,34,25,48549,32,54554,PS,PS,48,50027,1,46,35056,26,PS,41,1,82,68171,PS,26,54062,36,59561,PS,PS,53,54988,26,56,83,<=0.20,<=0.20,0.40 - 0.59,<=0.20,<=0.20,0.20 - 0.39,<=0.20,<=0.20,48,PS,PS,0.40 - 0.59,PS,PS,PS,PS,PS,1,2,67,64390,61,29,63516,37,65608,PS,PS,PS,PS,28,62,50554,53072,35750,73322
Biological Sciences,Bachelor's Degree,160.0,163.0,3,96,127,32589,7,75,95,38469,114,<=0.10,<=0.10,0.10 - 0.19,0.10 - 0.19,0.10 - 0.19,0.30 - 0.39,0.10 - 0.19,<=0.10,125,<=0.10,<=0.10,<=0.10,0.20 - 0.29,0.10 - 0.19,0.30 - 0.39,0.20 - 0.29,<=0.10,63,31737,66,40715,42,35400,87,35143,94,48495,84,76,44,47463,50,50637,36,49965,58,47263,7,129,35638,76,PS,107,5,130,69854,PS,44,61363,43,67050,34,63230,53,62883,PS,78,146,<=0.10,<=0.10,0.40 - 0.49,0.10 - 0.19,<=0.10,0.10 - 0.19,0.20 - 0.29,<=0.10,124,<=0.10,<=0.10,0.30 - 0.39,0.10 - 0.19,<=0.10,0.10 - 0.19,0.20 - 0.29,<=0.10,1,10,94,73422,83,50,70169,44,77291,37,76105,56,71321,22,81,57101,57214,38929,79199
Biological Sciences,Master's Degree,10.0,13.0,0,PS,16,50485,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,0,PS,PS,PS,PS,PS,1,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,1,1,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,3962,69830,50928,96355
Biochemistry,Bachelor's Degree,39.0,37.0,1,20,21,37312,0,19,23,32569,24,PS,PS,PS,PS,PS,0.40 - 0.59,PS,PS,28,PS,PS,PS,PS,PS,0.20 - 0.39,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,21,38270,19,18,PS,PS,PS,PS,PS,PS,PS,PS,2,28,57538,23,PS,24,1,28,78097,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,19,24,PS,PS,0.40 - 0.59,PS,PS,PS,PS,PS,28,PS,PS,PS,PS,PS,PS,PS,PS,1,1,23,72627,21,PS,PS,PS,PS,PS,PS,PS,PS,PS,20,6319,65466,44889,88432
Microbiology,Bachelor's Degree,16.0,24.0,0,PS,PS,PS,2,15,15,36852,15,PS,PS,PS,PS,PS,PS,PS,PS,21,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,0,21,55807,16,PS,19,1,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,14,PS,PS,PS,PS,PS,PS,PS,PS,21,PS,PS,PS,PS,PS,PS,PS,PS,1,0,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,2108,62582,44047,83205
Mathematics,Bachelor's Degree,62.0,51.0,0,23,24,46729,1,24,27,55512,34,PS,PS,PS,PS,PS,0.40 - 0.59,PS,PS,33,PS,PS,PS,PS,PS,0.20 - 0.39,0.20 - 0.39,PS,PS,PS,17,55608,PS,PS,PS,PS,40,59501,31,31,23,58255,PS,PS,25,59125,PS,PS,6,34,53136,26,PS,29,0,39,83187,PS,24,71734,19,65759,28,63918,PS,PS,PS,37,43,PS,PS,0.40 - 0.59,PS,PS,PS,PS,PS,33,PS,PS,PS,PS,PS,PS,0.40 - 0.59,PS,1,0,45,78202,41,24,79654,21,73668,27,75813,17,82450,PS,36,15976,69562,49058,97414
Mathematics,Master's Degree,14.0,11.0,0,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,0,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,1,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,1525,72654,54453,100369
Statistics,Bachelor's Degree,41.0,41.0,3,20,24,49673,0,13,15,55512,25,PS,PS,PS,PS,PS,0.40 - 0.59,PS,PS,16,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,23,78961,20,20,PS,PS,PS,PS,PS,PS,PS,PS,2,PS,PS,PS,PS,PS,1,34,101353,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,26,PS,PS,0.40 - 0.59,PS,PS,PS,PS,PS,16,PS,PS,PS,PS,PS,PS,PS,PS,1,1,21,97279,20,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,2476,92425,64564,125467
Nutrition,Bachelor's Degree,74.0,74.0,0,21,27,33431,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,5,34,22675,PS,PS,25,PS,71,68930,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,45,PS,PS,0.20 - 0.39,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,1,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,2790,60053,43153,76798
Nutrition,Master's Degree,6.0,6.0,1,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,0,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,1,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,1044,67126,52768,85484
Marine Sciences,Bachelor's Degree,12.0,26.0,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,0,16,27337,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,1,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,137,52667,35959,68489
Interdisciplinary Studies,Bachelor's Degree,26.0,30.0,PS,PS,PS,PS,,,,,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,0,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,1,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,27598,55693,40311,72165
Kinesiology,Bachelor's Degree,75.0,75.0,0,24,31,29831,PS,PS,PS,PS,14,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,34,30983,18,33767,24,34471,28,29728,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,1,52,30472,26,PS,46,PS,71,64579,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,82,<=0.20,<=0.20,0.40 - 0.59,0.20 - 0.39,<=0.20,<=0.20,<=0.20,<=0.20,PS,PS,PS,PS,PS,PS,PS,PS,PS,1,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,48463,54562,39049,73020
Kinesiology,Master's Degree,0.0,1.0,0,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,0,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,1,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,9292,62033,47943,80968
Philosophy,Bachelor's Degree,35.0,28.0,0,PS,PS,PS,PS,PS,PS,PS,10,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,2,PS,PS,PS,PS,PS,1,16,98592,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,11,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,1,1,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,6085,54455,34926,78043
Chemistry,Bachelor's Degree,26.0,30.0,1,PS,PS,PS,PS,PS,PS,PS,11,PS,PS,PS,PS,PS,PS,PS,PS,11,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,1,PS,PS,PS,PS,PS,1,21,63882,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,25,PS,PS,PS,PS,PS,PS,PS,PS,11,PS,PS,PS,PS,PS,PS,PS,PS,1,1,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,10453,65120,48307,84018
Chemistry,Master's Degree,3.0,18.0,0,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,0,PS,PS,PS,PS,PS,0,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,1,0,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,1187,82937,60941,109811
Environmental Earth and Soil Sciences,Bachelor's Degree,23.0,38.0,0,22,27,36496,PS,PS,PS,PS,14,PS,PS,PS,PS,PS,PS,PS,PS,10,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,1,31,48489,25,PS,29,0,45,69227,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,29,PS,PS,0.40 - 0.59,PS,PS,PS,PS,PS,10,PS,PS,PS,PS,PS,PS,PS,PS,1,0,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,6193,60190,44343,77573
Physics,Bachelor's Degree,51.0,35.0,3,21,27,30120,2,16,17,61516,27,PS,PS,PS,PS,PS,PS,PS,PS,24,PS,PS,PS,PS,PS,0.40 - 0.59,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,22,76364,18,16,PS,PS,PS,PS,18,82412,PS,PS,3,PS,PS,PS,PS,PS,3,26,96805,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,16,32,PS,PS,0.20 - 0.39,PS,PS,PS,PS,PS,24,PS,PS,PS,PS,PS,PS,PS,PS,1,2,19,114864,18,PS,PS,PS,PS,PS,PS,PS,PS,PS,16,5602,76786,51777,102948
Physics,Master's Degree,0.0,2.0,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,1,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS
Psychology,Bachelor's Degree,156.0,135.0,6,67,91,29831,4,49,67,31673,86,<=0.20,<=0.20,<=0.20,0.20 - 0.39,<=0.20,0.20 - 0.39,0.20 - 0.39,<=0.20,92,<=0.20,<=0.20,<=0.20,0.20 - 0.39,<=0.20,0.20 - 0.39,<=0.20,<=0.20,48,22601,37,24382,PS,PS,PS,PS,66,36554,59,46,41,34320,25,48860,PS,PS,49,38881,4,84,23744,33,PS,72,4,83,60466,56,43,43614,30,54691,16,43546,56,50385,PS,63,85,<=0.20,<=0.20,0.40 - 0.59,<=0.20,<=0.20,<=0.20,<=0.20,<=0.20,92,<=0.20,<=0.20,0.20 - 0.39,<=0.20,<=0.20,<=0.20,0.20 - 0.39,<=0.20,1,7,70,65762,57,39,57767,31,69943,16,56610,54,69666,19,58,102536,50706,35740,67229
Psychology,Master's Degree,16.0,18.0,0,PS,PS,PS,0,17,18,45808,26,PS,PS,PS,PS,0.40 - 0.59,PS,PS,PS,22,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,17,63833,17,16,PS,PS,PS,PS,PS,PS,PS,PS,0,19,49062,16,PS,18,1,19,69419,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,16,11,PS,PS,PS,PS,PS,PS,PS,PS,22,PS,PS,PS,PS,PS,PS,PS,PS,1,0,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,5527,64711,45967,86199
Economics,Bachelor's Degree,53.0,59.0,1,41,46,51116,5,36,41,59124,39,PS,PS,PS,PS,PS,0.20 - 0.39,0.20 - 0.39,PS,36,PS,PS,PS,PS,PS,0.40 - 0.59,PS,PS,16,62034,27,74886,PS,PS,PS,PS,53,62867,43,39,24,46471,30,71867,PS,PS,PS,PS,1,43,67501,39,PS,41,2,50,98927,PS,21,71598,31,84729,38,76279,PS,PS,PS,44,44,PS,PS,0.40 - 0.59,PS,PS,PS,PS,PS,36,PS,PS,PS,PS,PS,0.20 - 0.39,0.40 - 0.59,PS,1,2,51,89394,45,21,86190,30,104907,PS,PS,PS,PS,PS,42,28744,82686,58184,116323
Economics,Master's Degree,21.0,22.0,0,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,0,PS,PS,PS,PS,PS,0,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,1,1,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,1664,100743,74382,133995
Political Science,Bachelor's Degree,95.0,85.0,1,35,50,31649,1,29,36,37208,38,PS,PS,PS,PS,PS,0.40 - 0.59,PS,PS,32,PS,PS,PS,PS,PS,0.20 - 0.39,PS,PS,27,32625,26,40457,24,35901,28,36832,35,46971,32,28,PS,PS,PS,PS,17,46804,PS,PS,4,53,37003,32,PS,47,2,71,81843,PS,26,71728,21,72613,PS,PS,22,70019,PS,37,64,<=0.20,<=0.20,0.40 - 0.59,<=0.20,<=0.20,<=0.20,<=0.20,<=0.20,32,PS,PS,0.20 - 0.39,PS,PS,PS,PS,PS,1,2,45,90264,43,27,85263,20,102685,27,87072,20,87080,PS,35,36628,63293,44760,85406
Sociology,Bachelor's Degree,64.0,66.0,1,48,59,39856,1,31,39,41193,47,PS,PS,PS,PS,PS,0.20 - 0.39,0.20 - 0.39,PS,32,PS,PS,PS,PS,PS,0.40 - 0.59,PS,PS,28,32496,17,31618,PS,PS,PS,PS,35,45009,33,29,23,42059,PS,PS,PS,PS,22,41160,3,45,30401,24,PS,41,1,50,69883,PS,PS,PS,PS,PS,PS,PS,25,58723,PS,32,42,PS,PS,0.40 - 0.59,PS,PS,PS,PS,PS,32,PS,PS,0.20 - 0.39,PS,PS,PS,0.20 - 0.39,PS,1,2,38,75585,35,PS,PS,PS,PS,PS,PS,PS,PS,PS,30,31848,52657,37665,69502
Theatre Arts,Bachelor's Degree,10.0,19.0,1,PS,PS,PS,1,10,14,23649,10,PS,PS,PS,PS,PS,PS,PS,PS,17,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,4,PS,PS,PS,PS,PS,1,16,36697,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,13,PS,PS,PS,PS,PS,PS,PS,PS,17,PS,PS,PS,PS,PS,PS,PS,PS,1,0,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,14066,39775,25491,55399
Art and Design,Bachelor's Degree,54.0,58.0,2,50,58,39354,2,37,43,45082,40,PS,PS,PS,PS,PS,0.40 - 0.59,PS,PS,41,PS,PS,PS,PS,PS,0.20 - 0.39,0.20 - 0.39,PS,21,34041,29,34808,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,3,50,36006,27,PS,39,3,56,59721,PS,20,38308,20,78089,PS,PS,32,70726,PS,35,48,PS,PS,0.40 - 0.59,PS,PS,0.20 - 0.39,PS,PS,41,PS,PS,0.20 - 0.39,PS,PS,PS,0.20 - 0.39,PS,1,6,36,87876,29,PS,PS,PS,PS,PS,PS,PS,PS,PS,29,26935,41367,26241,56653
Music,Bachelor's Degree,12.0,15.0,2,PS,PS,PS,PS,PS,PS,PS,13,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,2,PS,PS,PS,PS,PS,0,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,10,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,1,0,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,14715,42892,26048,58755
