INSTNM,CITY,STABBR,ZIP,CARNEGIESIZE,INSTSIZE,LONGITUD,LATITUDE
High Desert Medical College,Lancaster,CA,93534,2,2,-118.144328,34.67613
The Salon Professional Academy-San Jose,San Jose,CA,95129-5101,-2,1,-121.989475,37.292025
Tri-Community Adult Education,Covina,CA,91722-3925,-2,1,-117.887096,34.104391
North-West College-Anaheim,Anaheim,CA,92801,-2,1,-117.959766,33.839313
North-West College-Long Beach,Long Beach,CA,90815-1770,-2,1,-118.14854,33.801894
University of Phoenix-California,Ontario,CA,91761,2,1,-117.58377,34.065748
Minerva University,San Francisco,CA,94103,2,1,-122.408039,37.782711
University of West Los Angeles,Inglewood,CA,90301,1,1,-118.36957,33.947341
High Tech High Graduate School of Education,San Diego,CA,92106,1,1,-117.217661,32.732001
Coachella Valley Beauty College-Hemet,Hemet,CA,92545,-2,1,-117.010783,33.745675
Carrington College-Administrative Office,Sacramento,CA,95826,-2,-2,-121.371383,38.556104
Associated Barber College of San Diego,San Diego,CA,92101-4210,-2,1,-117.159908,32.719318
ABCO Technology,Los Angeles,CA,90043-1551,-2,1,-118.350978,33.988685
Lionel University,Carpinteria,CA,93013-2912,2,1,-119.486417,34.38768
Universal Healthcare Careers College,Los Angeles,CA,90015-3811,-2,1,-118.274771,34.0499
Theatre of Arts,Hollywood,CA,90028,1,1,-118.337582,34.101265
Westchester College of Nursing & Allied Health,Los Angeles,CA,90045-3647,-2,1,-118.396511,33.95487
ZMS The Academy,Los Angeles,CA,90033-4231,-2,1,-118.209424,34.047305
San Francisco Film School,San Francisco,CA,94104-2835,1,1,-122.401124,37.791643
Presidio Graduate School,San Anselmo,CA,94960,1,1,-122.565018,37.969625
California Jazz Conservatory,Berkeley,CA,94704-1268,1,1,-122.268878,37.871235
California Barber and Beauty College,San Diego,CA,92115-4730,-2,1,-117.0814,32.757282
Aviation Institute of Maintenance-Fremont,Fremont,CA,94539,-2,1,-121.92135,37.468594
Universal Technical Institute-Southern California,Long Beach,CA,90808-1789,2,2,-118.145393,33.826017
California Institute of Advanced Management,Alhambra,CA,91803,1,1,-118.15055,34.082467
Butte County Regional Occupational Program,Chico,CA,95928-7191,-2,1,-121.804024,39.715283
Alhambra Medical University,Alhambra,CA,91803,1,1,-118.148684,34.080181
Abraham Lincoln University,Glendale,CA,91210,1,1,-118.256726,34.146294
DeHart Technical School,Modesto,CA,95356-9292,-2,1,-120.997781,37.71339
Claremont Lincoln University,Claremont,CA,91711-4744,1,1,-117.716117,34.094273
Hoss Lee Academy,Roseville,CA,95661-5233,-2,1,-121.289487,38.721897
California College of Music,Pasadena,CA,91106-2403,-2,1,-118.128935,34.145103
California Health Sciences University,Clovis,CA,93612,1,1,-119.701977,36.832466
University of Saint Katherine,San Marcos,CA,92069,1,-2,-117.160766,33.138387
Teachers College of San Joaquin,Stockton,CA,95206,2,1,-121.231507,37.908696
University of the People,Pasadena,CA,91101,5,5,-118.138047,34.146167
Clovis Community College,Fresno,CA,93730,3,4,-119.731261,36.88686
Institute of Buddhist Studies,Berkeley,CA,94704,1,1,-122.266105,37.866732
Chamberlain University-California,Rancho Cordova,CA,95670,2,1,-121.278258,38.596193
Spartan College of Aeronautics and Technology,Riverside,CA,92509-8716,-2,1,-117.408335,33.990127
West Coast University-Center for Graduate Studies,Los Angeles,CA,90004-2115,2,1,-118.29131,34.081505
Presbyterian Theological Seminary in America,Santa Fe Springs,CA,90670-5611,1,1,-118.047065,33.88856
America Evangelical University,Gardena,CA,90247-4432,1,1,-118.295931,33.883102
Los Angeles Academy of Figurative Art,Van Nuys,CA,91406-2127,-2,1,-118.5021,34.208209
Westcliff University,Irvine,CA,92614,3,3,-117.847973,33.685537
Sacramento Ultrasound Institute,Sacramento,CA,95815,1,1,-121.426335,38.597487
Regan Career Institute,El Monte,CA,91733-3254,-2,1,-118.042311,34.065527
California Institute of Arts & Technology,National City,CA,91950,2,2,-117.106076,32.661577
Platt College-Anaheim,Anaheim,CA,92806-5949,2,1,-117.878211,33.809417
The Chicago School at San Diego,San Diego,CA,92101-7903,1,1,-117.167054,32.718575
ABC Adult School,Cerritos,CA,90703-2801,-2,1,-118.070114,33.878179
California Institute of Medical Science,Clovis,CA,93612-0000,-2,1,-119.694271,36.810031
San Bernardino Beauty College,San Bernardino,CA,92410-4414,-2,1,-117.285521,34.110518
ICOHS College,San Diego,CA,92101,-2,1,-117.16145,32.723881
Urban Barber College,Concord,CA,94520-2522,-2,1,-122.03935,37.974933
Meridian University,Petaluma,CA,94952-3092,1,1,-122.640029,38.230878
Princess Institute of Beauty,Reedley,CA,93654-2455,-2,1,-119.431745,36.603678
Independent Training & Apprenticeship Program,Sacramento,CA,95827-1741,-2,1,-121.327728,38.572171
Victory Career College,Carson,CA,90746,-2,1,-118.266052,33.846375
Contra Costa Medical Career College,Antioch,CA,94581-6208,2,1,-121.801607,37.976815
Reiss-Davis Graduate School,Los Angeles,CA,90034,1,1,-118.41001,34.030844
Escondido Adult School,Escondido,CA,92025,-2,2,-117.088454,33.131225
Poway Adult School,Poway,CA,92064,-2,2,-117.035819,32.978817
Vista Adult School,Vista,CA,92081,-2,2,-117.240253,33.187334
Pima Medical Institute-San Marcos,San Marcos,CA,92078-8702,2,1,-117.160199,33.136906
California College of Barbering and Cosmetology,Stockton,CA,95210,-2,1,-121.293756,38.000656
Salon Success Academy-West Covina,West Covina,CA,91790-2876,-2,1,-117.933801,34.070568
Institute of Culinary Education,Pasadena,CA,91101-5221,2,1,-118.139351,34.144829
Medical Career College of Northern California,Roseville,CA,95678-5133,-2,1,-121.293121,38.723329
San Diego Global Knowledge University,San Diego,CA,92101,1,1,-117.154966,32.708222
Young Americans College of the Performing Arts,Corona,CA,92881-3390,1,1,-117.542501,33.859246
MIXED Institute of Cosmetology & Barber,Sacramento,CA,95823-2370,-2,1,-121.43577,38.495699
Cal Northern School of Law,Chico,CA,95973-8682,-2,1,-121.839216,39.774522
UEI College-Sacramento,Sacramento,CA,95823-2512,-2,2,-121.454197,38.494532
KC Beauty Academy,Los Angeles,CA,90012-4303,-2,1,-118.235894,34.048458
North-West College-San Diego,San Diego,CA,92115-1506,2,1,-117.066577,32.765537
Oak Valley College,Rialto,CA,92377,1,1,-117.39089,34.150067
Paul Mitchell the School-San Jose,San Jose,CA,95122,-2,1,-121.814156,37.325292
Hollywood Cultural College,Los Angeles,CA,90010,-2,1,-118.299523,34.061319
Alder Graduate School of Education,Redwood City,CA,94062,2,1,-122.239258,37.486305
California Indian Nations College,Palm Desert,CA,92211,1,1,-116.353365,33.773732
Paul Mitchell the School-North Tahoe,Truckee,CA,96161-0000,-2,1,-120.222884,39.324674
San Joaquin Valley College-Delano,Delano,CA,93215-9691,-2,1,-119.229077,35.774826
San Joaquin Valley College-Rancho Mirage,Rancho Mirage,CA,92270-2701,1,1,-116.390793,33.798782
San Joaquin Valley College-Santa Maria,Santa Maria,CA,93454-6921,1,1,-120.433296,34.937806
San Joaquin Valley College-Porterville,Porterville,CA,93257-3730,-2,1,-119.01576,36.071598
California University of Science and Medicine,Colton,CA,92324-1603,1,1,-117.350487,34.077252
California Institute of Arts & Technology-National City,National City,CA,91950-6610,2,-1,-117.106076,32.661577
Agape College of Business and Science,Fresno,CA,93721-1827,-2,1,-119.787874,36.741252
Daybreak University,Anaheim,CA,92806,1,1,-117.88954,33.837857
California Northstate University,Elk Grove,CA,95757-3001,2,1,-121.481542,38.405942
Sri Sai Krish Institute,ORANGE,CA,92869,-2,1,-117.79648,33.787459
Riggins Urban Barber College,San Diego,CA,92114-3618,-2,1,-117.086115,32.706069
Madera Community College,Madera,CA,93638-8321,3,3,-119.99787,36.925132
University of Silicon Andhra,Milpitas,CA,95035,1,1,-121.921105,37.451094
Glendale Career College-North-West College-Bakersfield,Bakersfield,CA,93304-5075,1,1,-119.035082,35.339951
Southern California College of Barber and Beauty,Escondido,CA,92025-1801,-2,1,-117.085916,33.127963
Reach University,Oakland,CA,94612-1278,2,2,-122.277476,37.80566
American College of Healthcare and Technology-Santa Ana,Santa Ana,CA,92705-8680,-2,1,-117.840955,33.759681
San Francisco School of Massage & Bodywork,San Francisco,CA,94103-3416,-2,1,-122.421684,37.765421
Arizona College of Nursing-Ontario,Ontario,CA,91761-1201,-2,1,-117.578071,34.06676
CalCopa Massage School,Huntington Beach,CA,92648-2071,-2,1,-117.98744,33.692932
The Nurse Academy,National City,CA,91950-2964,-2,1,-117.082699,32.682892
Central Valley Barber College,Riverbank,CA,95367-2024,-2,1,-120.932216,37.738336
Homestead Schools-Costa Mesa,Costa Mesa,CA,92626-3079,-2,1,-117.884488,33.685098
Glendale Career College-North-West College-MFSON,West Covina,CA,91790-2097,-2,1,-117.948751,34.072193
Jama's Beauty & Barber College,West Hills,CA,91304-3023,-2,1,-118.646193,34.219652
West Coast Barber College,Oceanside,CA,92058-1472,-2,1,-117.331497,33.224473
Unitek College - Sacramento,Sacramento,CA,95825-8500,-2,-2,-121.380561,38.644455
Unitek College - Concord,Concord,CA,94520-7982,-2,-2,-122.050816,37.97043
Unitek College - Bakersfield,Bakersfield,CA,93303-0000,-2,-2,-119.059841,35.351681
EDvance College,San Francisco,CA,94104,-2,1,-122.40148,37.789663
Arizona State University - ASU California Center - Broadway,Los Angeles,CA,90015-2205,-2,-2,-118.25968,34.039355
Arizona State University - ASU California Center - Grand,Los Angeles,CA,90015-1421,-2,-2,-118.25993,34.044209
Urban Barber College - Modesto,Modesto,CA,95351-0000,-2,-2,-121.013098,37.638406
