INSTNM,CITY,STABBR,ZIP,CARNEGIESIZE,INSTSIZE,LONGITUD,LATITUDE
Ventura County Community College System Office,Camarillo,CA,93010,-2,-2,-119.057951,34.219073
Ventura College,Ventura,CA,93003-3872,3,4,-119.230604,34.277393
The Colleges of Law at Ventura,Ventura,CA,93003,1,1,-119.232988,34.25747
Bridges Beauty College,Victorville,CA,92395-3821,-2,1,-117.303933,34.528602
Victor Valley College,Victorville,CA,92395-5850,3,3,-117.261456,34.472231
Berkeley City College,Berkeley,CA,94704,3,3,-122.269877,37.869769
West Valley Mission Community College District Office,Saratoga,CA,95070-5698,-2,-2,-122.008324,37.26398
Waynes College of Beauty,Salinas,CA,93906-2830,-2,1,-121.652672,36.700635
Coalinga College,Coalinga,CA,93210,3,2,-120.356747,36.147891
West Los Angeles College,Culver City,CA,90230-3519,3,3,-118.386664,34.004512
West Valley College,Saratoga,CA,95070,3,3,-122.008324,37.26398
Carrington College-Sacramento,Sacramento,CA,95826,2,2,-121.371383,38.556104
Westminster Theological Seminary in California,Escondido,CA,92027,1,1,-117.046371,33.121447
Westmont College,Santa Barbara,CA,93108-1089,2,2,-119.662517,34.450151
Whittier College,Whittier,CA,90601,2,1,-118.032299,33.978773
Woodbury University,Burbank,CA,91504-1052,2,1,-118.341147,34.208011
The Wright Institute,Berkeley,CA,94704-1796,2,1,-122.253168,37.868221
Thomas Jefferson School of Law,San Diego,CA,92101,1,1,-117.157862,32.717595
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,Los Angeles,CA,90046-7660,1,1,-118.346613,34.085465
Yosemite Community College District Office,Modesto,CA,95358,-2,-2,-121.038612,37.660935
Yuba College,Marysville,CA,95901,3,3,-121.53964,39.126536
Ashford University,San Diego,CA,92123,5,5,-117.141961,32.8273
Stanford University,Stanford,CA,94305,4,4,-122.167359,37.429434
Antioch University-Los Angeles,Culver City,CA,90230-7615,2,1,-118.384458,33.988533
Antioch University-Santa Barbara,Santa Barbara,CA,93101,1,1,-119.6958,34.419203
Carrington College-San Leandro Campus,San Leandro,CA,94578-3711,2,1,-122.12567,37.699627
Platt College-Los Angeles,Alhambra,CA,91803,2,1,-118.150013,34.081723
University of Massachusetts Global,Aliso Viejo,CA,92656,3,3,-117.727737,33.582886
Adrian's Beauty College of Turlock,Turlock,CA,95380,-2,1,-120.863784,37.491448
San Joaquin Valley College-Fresno,Fresno,CA,93710-3616,2,1,-119.784003,36.829907
Palomar Institute of Cosmetology,San Marcos,CA,92078,-2,1,-117.188351,33.13663
Las Positas College,Livermore,CA,94551-7650,3,3,-121.80058,37.710873
California State University-San Marcos,San Marcos,CA,92096-0001,3,4,-117.159013,33.130569
